Election_ID,block_id,account_id,stake,event,Timestamp,remarks
1,,node_0374,33418,init,2026-07-26 00:34:36,CBP(backup) rank 1
1,,node_0173,32432,init,2026-07-26 00:34:36,CBP(backup) rank 2
1,,node_0201,30466,init,2026-07-26 00:34:36,CBP(backup) rank 3
1,,node_0049,30287,init,2026-07-26 00:34:36,CBP(backup) rank 4
1,,node_0451,29736,init,2026-07-26 00:34:36,CBP(backup) rank 5
1,,node_0344,29176,init,2026-07-26 00:34:36,CBP(backup) rank 6
1,,node_0386,28897,init,2026-07-26 00:34:36,CBP(backup) rank 7
1,,node_0047,28089,init,2026-07-26 00:34:36,CBP(backup) rank 8
1,,node_0492,28024,init,2026-07-26 00:34:36,CBP(backup) rank 9
1,,node_0294,27743,init,2026-07-26 00:34:36,CBP(backup) rank 10
1,,node_0185,27440,init,2026-07-26 00:34:36,CBP(backup) rank 11
1,,node_0094,27070,init,2026-07-26 00:34:36,CBP(backup) rank 12
1,,node_0484,26994,init,2026-07-26 00:34:36,CBP(backup) rank 13
1,,node_0315,26991,init,2026-07-26 00:34:36,CBP(backup) rank 14
1,,node_0482,26858,init,2026-07-26 00:34:36,CBP(backup) rank 15
1,,node_0020,26660,init,2026-07-26 00:34:36,CBP(backup) rank 16
1,,node_0276,26587,init,2026-07-26 00:34:36,CBP(backup) rank 17
1,,node_0190,26272,init,2026-07-26 00:34:36,CBP(backup) rank 18
1,,node_0271,26200,init,2026-07-26 00:34:36,CBP(backup) rank 19
1,,node_0266,25835,init,2026-07-26 00:34:36,CBP(backup) rank 20
1,,node_0253,25804,init,2026-07-26 00:34:36,CBP(backup) rank 21
1,,node_0019,25669,init,2026-07-26 00:34:36,CBP(backup) rank 22
1,,node_0066,25609,init,2026-07-26 00:34:36,CBP(backup) rank 23
1,,node_0130,24250,init,2026-07-26 00:34:36,CBP(backup) rank 24
1,,node_0450,24199,init,2026-07-26 00:34:36,CBP(backup) rank 25
1,,node_0285,23636,init,2026-07-26 00:34:36,CBP(backup) rank 26
1,,node_0370,23363,init,2026-07-26 00:34:36,CBP(backup) rank 27
1,,node_0383,23258,init,2026-07-26 00:34:36,CBP(backup) rank 28
1,,node_0455,22808,init,2026-07-26 00:34:36,CBP(backup) rank 29
1,,node_0360,22437,init,2026-07-26 00:34:36,CBP(backup) rank 30
1,,node_0329,22423,init,2026-07-26 00:34:36,CBP(backup) rank 31
1,,node_0473,22204,init,2026-07-26 00:34:36,CBP(backup) rank 32
1,,node_0063,21954,init,2026-07-26 00:34:36,CBP(backup) rank 33
1,,node_0400,21819,init,2026-07-26 00:34:36,CBP(backup) rank 34
1,,node_0333,21572,init,2026-07-26 00:34:36,CBP(backup) rank 35
1,,node_0223,21346,init,2026-07-26 00:34:36,CBP(backup) rank 36
1,,node_0205,20446,init,2026-07-26 00:34:36,CBP(backup) rank 37
1,,node_0102,20171,init,2026-07-26 00:34:36,CBP(backup) rank 38
1,,node_0067,19725,init,2026-07-26 00:34:36,CBP(backup) rank 39
1,,node_0466,19274,init,2026-07-26 00:34:36,CBP(backup) rank 40
1,block_0028,node_0374,7921,promoted-out,2026-07-26 00:34:37,promoted to replace node_0097
1,block_0028,node_0097,9713,enqueued,2026-07-26 00:34:37,appended to backups queue (no cooldown)
1,block_0064,node_0173,6764,promoted-out,2026-07-26 00:34:37,promoted to replace node_0397
