Block_id,type,account_id,Election_id,round_id,Total_rewards
block_0001,PDDPoS,node_0240,1,1,547
block_0002,PDDPoS,node_0239,1,1,621
block_0003,PDDPoS,node_0097,1,1,605
block_0004,PDDPoS,node_0374,1,1,528
block_0005,PDDPoS,node_0115,1,1,776
block_0006,PDDPoS,node_0067,1,1,695
block_0007,PDDPoS,node_0211,1,1,701
block_0008,PDDPoS,node_0192,1,1,777
block_0009,PDDPoS,node_0148,1,1,777
block_0010,PDDPoS,node_0441,1,1,778
block_0011,PDDPoS,node_0442,1,1,661
block_0012,PDDPoS,node_0361,1,1,776
block_0013,PDDPoS,node_0248,1,1,777
block_0014,PDDPoS,node_0371,1,1,586
block_0015,PDDPoS,node_0205,1,1,777
block_0016,PDDPoS,node_0071,1,1,778
block_0017,PDDPoS,node_0315,1,1,777
block_0018,PDDPoS,node_0009,1,1,625
block_0019,PDDPoS,node_0039,1,1,778
block_0020,PDDPoS,node_0326,1,1,653
block_0021,PDDPoS,node_0498,1,1,777
block_0022,PDDPoS,node_0133,1,1,543
block_0023,PDDPoS,node_0156,1,1,684
block_0024,PDDPoS,node_0460,1,1,778
block_0025,PDDPoS,node_0426,1,1,637
block_0026,PDDPoS,node_0100,1,1,773
block_0027,PDDPoS,node_0333,1,1,771
block_0028,PDDPoS,node_0138,1,1,702
block_0029,PDDPoS,node_0138,1,1,778
block_0030,PDDPoS,node_0412,1,1,664
block_0031,PDDPoS,node_0241,1,1,663
block_0032,PDDPoS,node_0468,1,1,614
block_0033,PDDPoS,node_0494,1,1,777
block_0034,PDDPoS,node_0447,1,1,605
block_0035,PDDPoS,node_0461,1,1,567
block_0036,PDDPoS,node_0416,1,1,766
block_0037,PDDPoS,node_0272,1,1,613
block_0038,PDDPoS,node_0303,1,1,744
block_0039,PDDPoS,node_0188,1,1,757
block_0040,PDDPoS,node_0232,1,1,777
block_0041,PDDPoS,node_0240,1,2,774
block_0042,PDDPoS,node_0239,1,2,560
block_0043,PDDPoS,node_0097,1,2,534
block_0044,PDDPoS,node_0374,1,2,777
block_0045,PDDPoS,node_0115,1,2,778
block_0046,PDDPoS,node_0067,1,2,538
block_0047,PDDPoS,node_0211,1,2,710
block_0048,PDDPoS,node_0192,1,2,725
block_0049,PDDPoS,node_0148,1,2,678
block_0050,PDDPoS,node_0441,1,2,656
block_0051,PDDPoS,node_0442,1,2,778
block_0052,PDDPoS,node_0361,1,2,701
block_0053,PDDPoS,node_0248,1,2,662
block_0054,PDDPoS,node_0371,1,2,688
block_0055,PDDPoS,node_0205,1,2,686
block_0056,PDDPoS,node_0071,1,2,618
block_0057,PDDPoS,node_0315,1,2,573
block_0058,PDDPoS,node_0009,1,2,739
block_0059,PDDPoS,node_0039,1,2,778
block_0060,PDDPoS,node_0326,1,2,607
block_0061,PDDPoS,node_0498,1,2,724
block_0062,PDDPoS,node_0133,1,2,567
block_0063,PDDPoS,node_0156,1,2,776
block_0064,PDDPoS,node_0426,1,2,777
block_0065,PDDPoS,node_0426,1,2,778
block_0066,PDDPoS,node_0100,1,2,778
block_0067,PDDPoS,node_0333,1,2,529
block_0068,PDDPoS,node_0051,1,2,567
block_0069,PDDPoS,node_0138,1,2,778
block_0070,PDDPoS,node_0412,1,2,777
block_0071,PDDPoS,node_0241,1,2,710
block_0072,PDDPoS,node_0468,1,2,717
block_0073,PDDPoS,node_0494,1,2,729
block_0074,PDDPoS,node_0447,1,2,569
block_0075,PDDPoS,node_0461,1,2,733
block_0076,PDDPoS,node_0416,1,2,662
block_0077,PDDPoS,node_0272,1,2,778
block_0078,PDDPoS,node_0303,1,2,559
block_0079,PDDPoS,node_0188,1,2,619
block_0080,PDDPoS,node_0232,1,2,601
block_0081,PDDPoS,node_0240,1,3,734
block_0082,PDDPoS,node_0239,1,3,671
block_0083,PDDPoS,node_0097,1,3,710
block_0084,PDDPoS,node_0374,1,3,552
block_0085,PDDPoS,node_0115,1,3,548
block_0086,PDDPoS,node_0067,1,3,778
block_0087,PDDPoS,node_0211,1,3,562
block_0088,PDDPoS,node_0192,1,3,729
block_0089,PDDPoS,node_0148,1,3,778
block_0090,PDDPoS,node_0441,1,3,775
block_0091,PDDPoS,node_0442,1,3,766
block_0092,PDDPoS,node_0361,1,3,778
block_0093,PDDPoS,node_0248,1,3,690
block_0094,PDDPoS,node_0371,1,3,687
block_0095,PDDPoS,node_0205,1,3,767
block_0096,PDDPoS,node_0071,1,3,708
block_0097,PDDPoS,node_0315,1,3,778
block_0098,PDDPoS,node_0009,1,3,633
block_0099,PDDPoS,node_0039,1,3,700
block_0100,PDDPoS,node_0326,1,3,552
block_0101,PDDPoS,node_0498,1,3,775
block_0102,PDDPoS,node_0133,1,3,777
block_0103,PDDPoS,node_0156,1,3,654
block_0104,PDDPoS,node_0424,1,3,597
block_0105,PDDPoS,node_0426,1,3,777
block_0106,PDDPoS,node_0100,1,3,670
block_0107,PDDPoS,node_0333,1,3,549
block_0108,PDDPoS,node_0051,1,3,621
block_0109,PDDPoS,node_0138,1,3,640
block_0110,PDDPoS,node_0412,1,3,676
block_0111,PDDPoS,node_0241,1,3,687
block_0112,PDDPoS,node_0468,1,3,740
