Election_ID,account_id,candidate_account_id,Profit_demand,Stakes,Status,Remarks
1,node_0001,node_0388,0.86,1874,active,voter (Total-weighted random choice)
1,node_0002,node_0002,1.00,4062,active,self-vote (candidate self-stake)
1,node_0003,node_0003,1.00,8985,active,self-vote (candidate self-stake)
1,node_0004,node_0194,1.15,570,active,voter (Total-weighted random choice)
1,node_0005,node_0310,1.09,3861,active,voter (Total-weighted random choice)
1,node_0006,node_0313,1.25,9245,active,voter (Total-weighted random choice)
1,node_0007,node_0491,1.12,3661,active,voter (Total-weighted random choice)
1,node_0008,node_0279,0.65,156,active,voter (Total-weighted random choice)
1,node_0009,node_0009,1.00,6974,active,self-vote (candidate self-stake)
1,node_0010,node_0010,1.00,3577,active,self-vote (candidate self-stake)
1,node_0011,node_0011,1.00,1724,active,self-vote (candidate self-stake)
1,node_0012,node_0408,0.59,5931,active,voter (Total-weighted random choice)
1,node_0013,node_0384,0.94,761,active,voter (Total-weighted random choice)
1,node_0014,node_0361,0.85,6251,active,voter (Total-weighted random choice)
1,node_0015,node_0015,1.00,5975,active,self-vote (candidate self-stake)
1,node_0016,node_0016,1.00,800,active,self-vote (candidate self-stake)
1,node_0017,node_0499,1.42,1357,active,voter (Total-weighted random choice)
1,node_0018,node_0232,0.75,6277,active,voter (Total-weighted random choice)
1,node_0019,node_0019,1.00,2714,active,self-vote (candidate self-stake)
1,node_0020,node_0020,1.00,4424,active,self-vote (candidate self-stake)
1,node_0021,node_0433,0.96,2853,active,voter (Total-weighted random choice)
1,node_0022,node_0022,1.00,2727,active,self-vote (candidate self-stake)
1,node_0023,node_0039,1.12,9175,active,voter (Total-weighted random choice)
1,node_0024,node_0253,1.29,966,active,voter (Total-weighted random choice)
1,node_0025,node_0324,0.66,5218,active,voter (Total-weighted random choice)
1,node_0026,node_0026,1.00,3506,active,self-vote (candidate self-stake)
1,node_0027,node_0352,1.44,3533,active,voter (Total-weighted random choice)
