Election_ID,account_id,candidate_account_id,Profit_demand,Stakes,Status,Remarks
1,node_0001,node_0314,0.86,1874,active,voter (Total-weighted random choice)
1,node_0002,node_0390,1.15,4062,active,voter (Total-weighted random choice)
1,node_0003,node_0039,1.09,8985,active,voter (Total-weighted random choice)
1,node_0004,node_0360,1.25,570,active,voter (Total-weighted random choice)
1,node_0005,node_0097,1.12,3861,active,voter (Total-weighted random choice)
1,node_0006,node_0289,0.65,9245,active,voter (Total-weighted random choice)
1,node_0007,node_0097,0.59,3661,active,voter (Total-weighted random choice)
1,node_0008,node_0468,0.94,156,active,voter (Total-weighted random choice)
1,node_0009,node_0466,0.85,6974,active,voter (Total-weighted random choice)
1,node_0010,node_0010,1.00,3577,active,self-vote (candidate self-stake)
1,node_0011,node_0026,1.42,1724,active,voter (Total-weighted random choice)
1,node_0012,node_0383,0.75,5931,active,voter (Total-weighted random choice)
1,node_0013,node_0459,0.96,761,active,voter (Total-weighted random choice)
1,node_0014,node_0289,1.12,6251,active,voter (Total-weighted random choice)
1,node_0015,node_0463,1.29,5975,active,voter (Total-weighted random choice)
1,node_0016,node_0016,1.00,800,active,self-vote (candidate self-stake)
1,node_0017,node_0352,0.66,1357,active,voter (Total-weighted random choice)
1,node_0018,node_0192,1.44,6277,active,voter (Total-weighted random choice)
1,node_0019,node_0397,1.30,2714,active,voter (Total-weighted random choice)
1,node_0020,node_0466,0.81,4424,active,voter (Total-weighted random choice)
1,node_0021,node_0376,0.52,2853,active,voter (Total-weighted random choice)
1,node_0022,node_0400,1.32,2727,active,voter (Total-weighted random choice)
1,node_0023,node_0279,1.23,9175,active,voter (Total-weighted random choice)
1,node_0024,node_0312,1.44,966,active,voter (Total-weighted random choice)
1,node_0025,node_0480,1.42,5218,active,voter (Total-weighted random choice)
1,node_0026,node_0026,1.00,3506,active,self-vote (candidate self-stake)
1,node_0027,node_0352,1.03,3533,active,voter (Total-weighted random choice)
1,node_0028,node_0312,1.00,7567,active,voter (Total-weighted random choice)
1,node_0029,node_0010,0.77,4090,active,voter (Total-weighted random choice)
1,node_0030,node_0077,1.30,9627,active,voter (Total-weighted random choice)
1,node_0031,node_0031,1.00,5980,active,self-vote (candidate self-stake)
1,node_0032,node_0312,1.26,8398,active,voter (Total-weighted random choice)
1,node_0033,node_0484,1.39,1846,active,voter (Total-weighted random choice)
1,node_0034,node_0468,0.95,6966,active,voter (Total-weighted random choice)
1,node_0035,node_0451,1.33,6302,active,voter (Total-weighted random choice)
1,node_0036,node_0400,0.88,8719,active,voter (Total-weighted random choice)
1,node_0037,node_0403,0.69,1926,active,voter (Total-weighted random choice)
1,node_0038,node_0484,0.70,5623,active,voter (Total-weighted random choice)
1,node_0039,node_0039,1.00,2641,active,self-vote (candidate self-stake)
1,node_0040,node_0376,0.56,8251,active,voter (Total-weighted random choice)
1,node_0041,node_0039,0.70,4939,active,voter (Total-weighted random choice)
1,node_0042,node_0192,0.54,2554,active,voter (Total-weighted random choice)
1,node_0043,node_0352,1.39,8887,active,voter (Total-weighted random choice)
1,node_0044,node_0400,0.58,9863,active,voter (Total-weighted random choice)
1,node_0045,node_0484,1.24,1882,active,voter (Total-weighted random choice)
1,node_0046,node_0312,1.09,3973,active,voter (Total-weighted random choice)
1,node_0047,node_0047,1.00,1453,active,self-vote (candidate self-stake)
1,node_0048,node_0476,1.37,8777,active,voter (Total-weighted random choice)
1,node_0049,node_0376,0.51,7837,active,voter (Total-weighted random choice)
1,node_0050,node_0352,0.92,4392,active,voter (Total-weighted random choice)
1,node_0051,node_0083,1.35,3520,active,voter (Total-weighted random choice)
1,node_0052,node_0052,1.00,5157,active,self-vote (candidate self-stake)
1,node_0053,node_0010,1.14,7227,active,voter (Total-weighted random choice)
1,node_0054,node_0463,0.63,2032,active,voter (Total-weighted random choice)
1,node_0055,node_0289,1.41,5589,active,voter (Total-weighted random choice)
1,node_0056,node_0442,0.58,9691,active,voter (Total-weighted random choice)
1,node_0057,node_0192,1.38,1014,active,voter (Total-weighted random choice)
1,node_0058,node_0383,0.93,5463,active,voter (Total-weighted random choice)
1,node_0059,node_0363,0.64,4612,active,voter (Total-weighted random choice)
1,node_0060,node_0484,1.06,8884,active,voter (Total-weighted random choice)
1,node_0061,node_0476,1.34,4031,active,voter (Total-weighted random choice)
1,node_0062,node_0400,1.39,3169,active,voter (Total-weighted random choice)
1,node_0063,node_0452,0.86,5854,active,voter (Total-weighted random choice)
1,node_0064,node_0480,1.45,937,active,voter (Total-weighted random choice)
1,node_0065,node_0363,1.24,1043,active,voter (Total-weighted random choice)
1,node_0066,node_0047,1.23,1840,active,voter (Total-weighted random choice)
1,node_0067,node_0067,1.00,8836,active,self-vote (candidate self-stake)
1,node_0068,node_0442,1.03,3056,active,voter (Total-weighted random choice)
1,node_0069,node_0476,1.11,1285,active,voter (Total-weighted random choice)
1,node_0070,node_0484,1.37,878,active,voter (Total-weighted random choice)
1,node_0071,node_0010,0.81,1578,active,voter (Total-weighted random choice)
1,node_0072,node_0452,1.36,2774,active,voter (Total-weighted random choice)
1,node_0073,node_0468,0.60,3552,active,voter (Total-weighted random choice)
1,node_0074,node_0312,0.90,2747,active,voter (Total-weighted random choice)
1,node_0075,node_0285,0.61,4395,active,voter (Total-weighted random choice)
1,node_0076,node_0487,1.05,4723,active,voter (Total-weighted random choice)
1,node_0077,node_0077,1.00,2586,active,self-vote (candidate self-stake)
1,node_0078,node_0083,1.01,1008,active,voter (Total-weighted random choice)
1,node_0079,node_0333,0.81,5188,active,voter (Total-weighted random choice)
1,node_0080,node_0253,1.25,8288,active,voter (Total-weighted random choice)
1,node_0081,node_0442,1.26,981,active,voter (Total-weighted random choice)
1,node_0082,node_0480,0.52,3094,active,voter (Total-weighted random choice)
1,node_0083,node_0083,1.00,3903,active,self-vote (candidate self-stake)
1,node_0084,node_0484,0.85,9535,active,voter (Total-weighted random choice)
1,node_0085,node_0376,0.75,6918,active,voter (Total-weighted random choice)
1,node_0086,node_0367,1.40,4322,active,voter (Total-weighted random choice)
1,node_0087,node_0480,1.23,3960,active,voter (Total-weighted random choice)
1,node_0088,node_0194,0.74,4965,active,voter (Total-weighted random choice)
1,node_0089,node_0031,0.68,202,active,voter (Total-weighted random choice)
1,node_0090,node_0487,1.16,1250,active,voter (Total-weighted random choice)
1,node_0091,node_0451,0.77,2220,active,voter (Total-weighted random choice)
1,node_0092,node_0452,0.79,4052,active,voter (Total-weighted random choice)
1,node_0093,node_0476,1.10,7229,active,voter (Total-weighted random choice)
1,node_0094,node_0442,0.98,8716,active,voter (Total-weighted random choice)
1,node_0095,node_0397,1.07,1747,active,voter (Total-weighted random choice)
1,node_0096,node_0360,1.27,4383,active,voter (Total-weighted random choice)
1,node_0097,node_0097,1.00,9114,active,self-vote (candidate self-stake)
1,node_0098,node_0333,1.07,9959,active,voter (Total-weighted random choice)
1,node_0099,node_0468,1.25,3385,active,voter (Total-weighted random choice)
1,node_0100,node_0484,1.10,8330,active,voter (Total-weighted random choice)
1,node_0101,node_0484,1.22,1562,active,voter (Total-weighted random choice)
1,node_0102,node_0102,1.00,772,active,self-vote (candidate self-stake)
1,node_0103,node_0039,1.34,4341,active,voter (Total-weighted random choice)
1,node_0104,node_0480,1.15,9088,active,voter (Total-weighted random choice)
1,node_0105,node_0468,1.39,1882,active,voter (Total-weighted random choice)
1,node_0106,node_0326,1.45,8988,active,voter (Total-weighted random choice)
1,node_0107,node_0010,0.62,9593,active,voter (Total-weighted random choice)
1,node_0108,node_0367,0.56,2138,active,voter (Total-weighted random choice)
1,node_0109,node_0397,1.01,703,active,voter (Total-weighted random choice)
1,node_0110,node_0026,1.07,4138,active,voter (Total-weighted random choice)
1,node_0111,node_0279,1.11,9223,active,voter (Total-weighted random choice)
1,node_0112,node_0475,1.16,2582,active,voter (Total-weighted random choice)
1,node_0113,node_0451,0.53,2712,active,voter (Total-weighted random choice)
1,node_0114,node_0010,0.67,6805,active,voter (Total-weighted random choice)
