Block_id,type,account_id,Election_id,round_id,Total_rewards
block_0001,PDDPoS,node_0476,1,1,547
block_0002,PDDPoS,node_0010,1,1,621
block_0003,PDDPoS,node_0279,1,1,605
block_0004,PDDPoS,node_0484,1,1,528
block_0005,PDDPoS,node_0376,1,1,776
block_0006,PDDPoS,node_0253,1,1,695
block_0007,PDDPoS,node_0480,1,1,701
block_0008,PDDPoS,node_0352,1,1,777
block_0009,PDDPoS,node_0067,1,1,777
block_0010,PDDPoS,node_0367,1,1,778
block_0011,PDDPoS,node_0476,1,2,661
block_0012,PDDPoS,node_0010,1,2,776
block_0013,PDDPoS,node_0279,1,2,777
block_0014,PDDPoS,node_0484,1,2,586
block_0015,PDDPoS,node_0376,1,2,777
block_0016,PDDPoS,node_0253,1,2,778
block_0017,PDDPoS,node_0480,1,2,777
block_0018,PDDPoS,node_0352,1,2,625
block_0019,PDDPoS,node_0067,1,2,778
block_0020,PDDPoS,node_0367,1,2,653
block_0021,PDDPoS,node_0476,1,3,777
block_0022,PDDPoS,node_0010,1,3,543
block_0023,PDDPoS,node_0279,1,3,684
block_0024,PDDPoS,node_0484,1,3,778
block_0025,PDDPoS,node_0376,1,3,637
block_0026,PDDPoS,node_0253,1,3,773
block_0027,PDDPoS,node_0480,1,3,771
block_0028,PDDPoS,node_0067,1,3,702
block_0029,PDDPoS,node_0067,1,3,778
block_0030,PDDPoS,node_0367,1,3,664
block_0031,PDDPoS,node_0476,1,4,663
block_0032,PDDPoS,node_0010,1,4,614
block_0033,PDDPoS,node_0279,1,4,777
block_0034,PDDPoS,node_0484,1,4,605
block_0035,PDDPoS,node_0376,1,4,567
block_0036,PDDPoS,node_0253,1,4,766
block_0037,PDDPoS,node_0480,1,4,613
block_0038,PDDPoS,node_0466,1,4,744
block_0039,PDDPoS,node_0067,1,4,757
block_0040,PDDPoS,node_0367,1,4,777
block_0041,PDDPoS,node_0476,1,5,774
block_0042,PDDPoS,node_0010,1,5,560
block_0043,PDDPoS,node_0279,1,5,534
block_0044,PDDPoS,node_0484,1,5,777
block_0045,PDDPoS,node_0376,1,5,778
block_0046,PDDPoS,node_0253,1,5,538
block_0047,PDDPoS,node_0480,1,5,710
block_0048,PDDPoS,node_0466,1,5,725
block_0049,PDDPoS,node_0067,1,5,678
block_0050,PDDPoS,node_0367,1,5,656
block_0051,PDDPoS,node_0476,1,6,778
block_0052,PDDPoS,node_0010,1,6,701
block_0053,PDDPoS,node_0279,1,6,662
block_0054,PDDPoS,node_0484,1,6,688
block_0055,PDDPoS,node_0376,1,6,686
block_0056,PDDPoS,node_0253,1,6,618
block_0057,PDDPoS,node_0480,1,6,573
block_0058,PDDPoS,node_0466,1,6,739
block_0059,PDDPoS,node_0067,1,6,778
block_0060,PDDPoS,node_0367,1,6,607
block_0061,PDDPoS,node_0476,1,7,724
block_0062,PDDPoS,node_0010,1,7,567
block_0063,PDDPoS,node_0279,1,7,776
block_0064,PDDPoS,node_0376,1,7,777
block_0065,PDDPoS,node_0376,1,7,778
block_0066,PDDPoS,node_0253,1,7,778
block_0067,PDDPoS,node_0480,1,7,529
block_0068,PDDPoS,node_0466,1,7,567
block_0069,PDDPoS,node_0067,1,7,778
block_0070,PDDPoS,node_0367,1,7,777
block_0071,PDDPoS,node_0476,1,8,710
block_0072,PDDPoS,node_0010,1,8,717
block_0073,PDDPoS,node_0279,1,8,729
block_0074,PDDPoS,node_0039,1,8,569
block_0075,PDDPoS,node_0376,1,8,733
block_0076,PDDPoS,node_0253,1,8,662
block_0077,PDDPoS,node_0480,1,8,778
block_0078,PDDPoS,node_0466,1,8,559
block_0079,PDDPoS,node_0067,1,8,619
block_0080,PDDPoS,node_0367,1,8,601
block_0081,PDDPoS,node_0476,1,9,734
block_0082,PDDPoS,node_0010,1,9,671
block_0083,PDDPoS,node_0279,1,9,710
block_0084,PDDPoS,node_0039,1,9,552
block_0085,PDDPoS,node_0376,1,9,548
block_0086,PDDPoS,node_0253,1,9,778
block_0087,PDDPoS,node_0480,1,9,562
block_0088,PDDPoS,node_0466,1,9,729
block_0089,PDDPoS,node_0067,1,9,778
block_0090,PDDPoS,node_0367,1,9,775
block_0091,PDDPoS,node_0476,1,10,766
block_0092,PDDPoS,node_0010,1,10,778
block_0093,PDDPoS,node_0279,1,10,690
block_0094,PDDPoS,node_0039,1,10,687
block_0095,PDDPoS,node_0376,1,10,767
block_0096,PDDPoS,node_0253,1,10,708
block_0097,PDDPoS,node_0480,1,10,778
block_0098,PDDPoS,node_0466,1,10,633
block_0099,PDDPoS,node_0067,1,10,700
block_0100,PDDPoS,node_0367,1,10,552
block_0101,PDDPoS,node_0386,2,1,776
block_0102,PDDPoS,node_0116,2,1,777
block_0103,PDDPoS,node_0333,2,1,654
block_0104,PDDPoS,node_0347,2,1,597
block_0105,PDDPoS,node_0439,2,1,777
block_0106,PDDPoS,node_0479,2,1,670
block_0107,PDDPoS,node_0422,2,1,548
block_0108,PDDPoS,node_0048,2,1,621
block_0109,PDDPoS,node_0363,2,1,640
block_0110,PDDPoS,node_0248,2,1,677
block_0111,PDDPoS,node_0386,2,2,686
block_0112,PDDPoS,node_0116,2,2,740
block_0113,PDDPoS,node_0333,2,2,757
block_0114,PDDPoS,node_0347,2,2,775
block_0115,PDDPoS,node_0439,2,2,774
block_0116,PDDPoS,node_0479,2,2,742
block_0117,PDDPoS,node_0422,2,2,684
block_0118,PDDPoS,node_0048,2,2,666
block_0119,PDDPoS,node_0363,2,2,777
block_0120,PDDPoS,node_0248,2,2,562
block_0121,PDDPoS,node_0386,2,3,723
block_0122,PDDPoS,node_0116,2,3,662
block_0123,PDDPoS,node_0404,2,3,775
block_0124,PDDPoS,node_0347,2,3,570
block_0125,PDDPoS,node_0439,2,3,535
block_0126,PDDPoS,node_0479,2,3,662
block_0127,PDDPoS,node_0422,2,3,639
block_0128,PDDPoS,node_0048,2,3,589
block_0129,PDDPoS,node_0363,2,3,778
block_0130,PDDPoS,node_0248,2,3,663
block_0131,PDDPoS,node_0386,2,4,701
block_0132,PDDPoS,node_0116,2,4,633
block_0133,PDDPoS,node_0404,2,4,774
block_0134,PDDPoS,node_0347,2,4,691
block_0135,PDDPoS,node_0439,2,4,774
block_0136,PDDPoS,node_0479,2,4,538
block_0137,PDDPoS,node_0422,2,4,776
block_0138,PDDPoS,node_0048,2,4,611
block_0139,PDDPoS,node_0363,2,4,738
block_0140,PDDPoS,node_0248,2,4,644
block_0141,PDDPoS,node_0386,2,5,668
block_0142,PDDPoS,node_0116,2,5,712
block_0143,PDDPoS,node_0404,2,5,553
block_0144,PDDPoS,node_0439,2,5,581
block_0145,PDDPoS,node_0439,2,5,778
block_0146,PDDPoS,node_0479,2,5,775
block_0147,PDDPoS,node_0422,2,5,711
block_0148,PDDPoS,node_0048,2,5,778
block_0149,PDDPoS,node_0363,2,5,667
block_0150,PDDPoS,node_0248,2,5,777
block_0151,PDDPoS,node_0226,2,6,703
block_0152,PDDPoS,node_0116,2,6,750
block_0153,PDDPoS,node_0404,2,6,777
block_0154,PDDPoS,node_0269,2,6,627
block_0155,PDDPoS,node_0439,2,6,596
block_0156,PDDPoS,node_0479,2,6,754
block_0157,PDDPoS,node_0422,2,6,771
block_0158,PDDPoS,node_0048,2,6,625
block_0159,PDDPoS,node_0363,2,6,705
block_0160,PDDPoS,node_0248,2,6,756
block_0161,PDDPoS,node_0226,2,7,731
block_0162,PDDPoS,node_0116,2,7,777
block_0163,PDDPoS,node_0404,2,7,664
block_0164,PDDPoS,node_0269,2,7,776
block_0165,PDDPoS,node_0067,2,7,649
block_0166,PDDPoS,node_0479,2,7,777
block_0167,PDDPoS,node_0422,2,7,681
block_0168,PDDPoS,node_0048,2,7,709
block_0169,PDDPoS,node_0363,2,7,778
block_0170,PDDPoS,node_0248,2,7,543
block_0171,PDDPoS,node_0226,2,8,605
block_0172,PDDPoS,node_0116,2,8,759
block_0173,PDDPoS,node_0404,2,8,655
block_0174,PDDPoS,node_0269,2,8,735
block_0175,PDDPoS,node_0067,2,8,777
block_0176,PDDPoS,node_0479,2,8,640
block_0177,PDDPoS,node_0422,2,8,633
block_0178,PDDPoS,node_0048,2,8,545
block_0179,PDDPoS,node_0248,2,8,775
block_0180,PDDPoS,node_0248,2,8,603
block_0181,PDDPoS,node_0226,2,9,777
block_0182,PDDPoS,node_0116,2,9,637
block_0183,PDDPoS,node_0404,2,9,559
block_0184,PDDPoS,node_0269,2,9,525
block_0185,PDDPoS,node_0067,2,9,662
block_0186,PDDPoS,node_0479,2,9,774
block_0187,PDDPoS,node_0422,2,9,776
block_0188,PDDPoS,node_0048,2,9,543
block_0189,PDDPoS,node_0480,2,9,605
block_0190,PDDPoS,node_0248,2,9,774
block_0191,PDDPoS,node_0226,2,10,608
block_0192,PDDPoS,node_0116,2,10,709
block_0193,PDDPoS,node_0404,2,10,774
block_0194,PDDPoS,node_0269,2,10,661
block_0195,PDDPoS,node_0067,2,10,698
block_0196,PDDPoS,node_0479,2,10,670
block_0197,PDDPoS,node_0422,2,10,560
block_0198,PDDPoS,node_0048,2,10,776
block_0199,PDDPoS,node_0480,2,10,534
block_0200,PDDPoS,node_0248,2,10,564
block_0201,PDDPoS,node_0260,3,1,659
block_0202,PDDPoS,node_0233,3,1,773
block_0203,PDDPoS,node_0017,3,1,775
block_0204,PDDPoS,node_0330,3,1,562
block_0205,PDDPoS,node_0014,3,1,623
block_0206,PDDPoS,node_0176,3,1,563
block_0207,PDDPoS,node_0448,3,1,717
block_0208,PDDPoS,node_0001,3,1,537
block_0209,PDDPoS,node_0174,3,1,643
block_0210,PDDPoS,node_0356,3,1,625
block_0211,PDDPoS,node_0260,3,2,707
block_0212,PDDPoS,node_0238,3,2,673
block_0213,PDDPoS,node_0017,3,2,776
block_0214,PDDPoS,node_0330,3,2,775
block_0215,PDDPoS,node_0014,3,2,566
block_0216,PDDPoS,node_0176,3,2,535
block_0217,PDDPoS,node_0448,3,2,591
block_0218,PDDPoS,node_0001,3,2,778
block_0219,PDDPoS,node_0174,3,2,778
block_0220,PDDPoS,node_0356,3,2,778
block_0221,PDDPoS,node_0260,3,3,776
block_0222,PDDPoS,node_0238,3,3,655
block_0223,PDDPoS,node_0017,3,3,760
block_0224,PDDPoS,node_0330,3,3,568
block_0225,PDDPoS,node_0014,3,3,537
block_0226,PDDPoS,node_0461,3,3,573
block_0227,PDDPoS,node_0448,3,3,585
block_0228,PDDPoS,node_0001,3,3,778
block_0229,PDDPoS,node_0174,3,3,777
block_0230,PDDPoS,node_0356,3,3,588
block_0231,PDDPoS,node_0260,3,4,614
block_0232,PDDPoS,node_0238,3,4,682
block_0233,PDDPoS,node_0017,3,4,651
block_0234,PDDPoS,node_0330,3,4,697
block_0235,PDDPoS,node_0014,3,4,774
block_0236,PDDPoS,node_0461,3,4,695
block_0237,PDDPoS,node_0448,3,4,594
block_0238,PDDPoS,node_0001,3,4,777
block_0239,PDDPoS,node_0174,3,4,770
block_0240,PDDPoS,node_0356,3,4,778
block_0241,PDDPoS,node_0260,3,5,613
block_0242,PDDPoS,node_0238,3,5,778
block_0243,PDDPoS,node_0017,3,5,692
block_0244,PDDPoS,node_0330,3,5,765
block_0245,PDDPoS,node_0014,3,5,775
block_0246,PDDPoS,node_0461,3,5,555
block_0247,PDDPoS,node_0448,3,5,627
block_0248,PDDPoS,node_0001,3,5,776
block_0249,PDDPoS,node_0174,3,5,606
block_0250,PDDPoS,node_0356,3,5,777
block_0251,PDDPoS,node_0260,3,6,745
block_0252,PDDPoS,node_0238,3,6,777
block_0253,PDDPoS,node_0017,3,6,650
block_0254,PDDPoS,node_0330,3,6,647
block_0255,PDDPoS,node_0461,3,6,619
block_0256,PDDPoS,node_0461,3,6,752
block_0257,PDDPoS,node_0448,3,6,660
block_0258,PDDPoS,node_0001,3,6,776
block_0259,PDDPoS,node_0174,3,6,772
block_0260,PDDPoS,node_0356,3,6,778
block_0261,PDDPoS,node_0260,3,7,778
block_0262,PDDPoS,node_0238,3,7,728
block_0263,PDDPoS,node_0017,3,7,778
block_0264,PDDPoS,node_0330,3,7,639
block_0265,PDDPoS,node_0034,3,7,778
block_0266,PDDPoS,node_0461,3,7,649
block_0267,PDDPoS,node_0448,3,7,757
block_0268,PDDPoS,node_0001,3,7,777
block_0269,PDDPoS,node_0280,3,7,613
block_0270,PDDPoS,node_0356,3,7,699
block_0271,PDDPoS,node_0260,3,8,638
block_0272,PDDPoS,node_0238,3,8,689
block_0273,PDDPoS,node_0017,3,8,755
block_0274,PDDPoS,node_0330,3,8,587
block_0275,PDDPoS,node_0034,3,8,680
block_0276,PDDPoS,node_0461,3,8,533
block_0277,PDDPoS,node_0448,3,8,776
block_0278,PDDPoS,node_0001,3,8,778
block_0279,PDDPoS,node_0280,3,8,630
block_0280,PDDPoS,node_0356,3,8,777
block_0281,PDDPoS,node_0260,3,9,776
block_0282,PDDPoS,node_0238,3,9,532
block_0283,PDDPoS,node_0017,3,9,535
block_0284,PDDPoS,node_0330,3,9,566
block_0285,PDDPoS,node_0034,3,9,778
block_0286,PDDPoS,node_0461,3,9,766
block_0287,PDDPoS,node_0448,3,9,637
block_0288,PDDPoS,node_0001,3,9,648
block_0289,PDDPoS,node_0280,3,9,585
block_0290,PDDPoS,node_0356,3,9,778
block_0291,PDDPoS,node_0260,3,10,778
block_0292,PDDPoS,node_0238,3,10,588
block_0293,PDDPoS,node_0017,3,10,602
block_0294,PDDPoS,node_0330,3,10,724
block_0295,PDDPoS,node_0172,3,10,591
block_0296,PDDPoS,node_0461,3,10,612
block_0297,PDDPoS,node_0001,3,10,548
block_0298,PDDPoS,node_0001,3,10,677
block_0299,PDDPoS,node_0280,3,10,741
block_0300,PDDPoS,node_0356,3,10,574
block_0301,PDDPoS,node_0032,4,1,778
block_0302,PDDPoS,node_0359,4,1,569
block_0303,PDDPoS,node_0261,4,1,596
block_0304,PDDPoS,node_0121,4,1,559
block_0305,PDDPoS,node_0277,4,1,667
block_0306,PDDPoS,node_0334,4,1,600
block_0307,PDDPoS,node_0036,4,1,774
block_0308,PDDPoS,node_0397,4,1,585
block_0309,PDDPoS,node_0263,4,1,750
block_0310,PDDPoS,node_0048,4,1,608
block_0311,PDDPoS,node_0032,4,2,574
block_0312,PDDPoS,node_0359,4,2,777
block_0313,PDDPoS,node_0261,4,2,625
block_0314,PDDPoS,node_0121,4,2,699
block_0315,PDDPoS,node_0277,4,2,712
block_0316,PDDPoS,node_0334,4,2,739
block_0317,PDDPoS,node_0036,4,2,562
block_0318,PDDPoS,node_0397,4,2,777
block_0319,PDDPoS,node_0263,4,2,714
block_0320,PDDPoS,node_0048,4,2,636
block_0321,PDDPoS,node_0097,4,3,778
block_0322,PDDPoS,node_0359,4,3,651
block_0323,PDDPoS,node_0261,4,3,777
block_0324,PDDPoS,node_0121,4,3,624
block_0325,PDDPoS,node_0277,4,3,774
block_0326,PDDPoS,node_0036,4,3,536
block_0327,PDDPoS,node_0036,4,3,764
block_0328,PDDPoS,node_0397,4,3,563
block_0329,PDDPoS,node_0263,4,3,778
block_0330,PDDPoS,node_0048,4,3,774
block_0331,PDDPoS,node_0097,4,4,591
block_0332,PDDPoS,node_0359,4,4,600
block_0333,PDDPoS,node_0261,4,4,602
block_0334,PDDPoS,node_0121,4,4,775
